id,text,label
1,Бул фильм оте жаксы болды,positive
2,Маган бул фильм унаган жок,negative
3,Фильмнин басы кызыкты болды бирак соны тусиниксиз,neutral
4,Мен буган оте куаныштымын,positive
5,Бул мен куткеннен әлдекайда нашар болды,negative
6,Куним тамаша отти,positive
7,Мундай сапага канагаттанбаймын,negative
8,Орташа денгейдеги онiм,neutral
9,Тамаша кызмет корсету,positive
10,Кызмет корсету оте баяу болды,negative
11,Кино оте асерли болды,positive
12,Фильм тым узак болды шаршатты,negative
13,Кызметкерлер мейiрiмдi және комектесуге дайын,positive
14,Кино оте жаман болды мен тіпті карап шыкпадым,negative
15,Такырып кызыкты бирак сценарий нашар,neutral
16,Менiн жаңа досыммен бiрге болу мен ушiн куаныш,positive
17,Бул онiм оте кымбат,negative
18,Тамаша идея бiрак орындалуы нашар,neutral
19,Мен осындай талантты актерлерди коруды унатамын,positive
20,Жалпы алганда фильмнин магынасы жок,negative
21,Керемет шеберлiк тамаша корiнiс,positive
22,Сапасы нашар мен оны сатып алмадым,negative
23,Бул спектакль конiл котердi,positive
24,Китап кызыкты бiрак аягы жаман болды,neutral
25,Сiздерге осындай тамаша кызмет корсету ушiн ракмет,positive
26,Бул бизнес жоспар мени ренжiттi,negative
27,Демалыс кунi мени жайландырады,positive
28,Классикалык әндер әркашан конiл котередi,positive
29,Китап баяу журдi мени кызыктырмады,negative
30,Бул фильм керемет оны барлык достарыма усынам,positive
31,Бугiнгi ауа-райы оте сумдык,negative
32,Мен оте бакыттымын жаңа жұмысқа кирдим,positive
33,Кобтеген кедергiлер бар бирак мен оларға қарсы тұрамын,neutral
34,Фильмде тамаша музыка болды,positive
35,Серверде коптеген проблемалар болды,negative
36,Курс оте кызыкты отти,positive
37,Кейiпкерлер бiр-бiрiне унамады,negative
38,Кешки ас тамаша болды,positive
39,Бул жаңа кітап мени унамады,negative
40,Табигаттын корiнiстерi керемет,positive
41,Фильм бiршама жалыктыратын болды,negative
42,Китап туралы ангиме кызыкты болды,positive
43,Осы онiмнин дизайны мени кызыктырмайды,negative
44,Достарыммен бирге болу мен ушiн ең жаксы нарсе,positive
45,Сериал бiртiндеп жалыктыра бастады,negative
46,Тамаша саяхат болды,positive
47,Бiрак натиже конiл коншiтпейдi,negative
48,Бугiнгi таңда тамаша идеялар кажет,positive
49,Кешкi ас кезiнде копшiлiкке унамады,negative
50,Мектептегi кездесу мени куантты,positive
51,Фильмде бирнеше логикалык кателiктер болды,negative
52,Жаңа ойындар кызыкты,positive
53,Кейбiр болiмдерi сылбыр болды,negative
54,Мен өнер кормесине катысуды жоспарлап отырмын,positive
55,Маселелерди шешу онай емес,neutral
56,Кофе оте дәмді,positive
57,Кызмет корсету сапасы нашар,negative
58,Технология әлемі каркынды дамып келеди,positive
59,Мундай кызыкты жобалар мени шабыттандырады,positive
60,Шаршаған куннин сонiнде демалу оте маңызды,positive
61,Кейбiр наукастардын конiл-күйi нашар болды,negative
62,Керемет табиғат корiнiсi,positive
63,Бiрак кейбiр сәттер оте жалыктырады,negative
64,Жазғы демалыс оте кызыкты отти,positive
65,Ауа-райы каты озгердi,negative
66,Суретшiнiн шығармалары мени оте кызыктырады,positive
67,Кейбiр идеялар іске аспады,negative
68,Фильмнин асери ұзақ уақыт бойы есте калады,positive
69,Классикалык музыка әркашан тамаша,positive
70,Кино бир аз ауыр болды,negative
71,Бугiнгi кеш оте кызыкты отти,positive
72,Сапа және баға арасында тепе-теңдік жок,negative
73,Табигатпен байланыс мени тыныштандырады,positive
74,Жоспарланган ис-шара кызыксыз болды,negative
75,Мен женил тамактануды жаксы көремiн,positive
76,Ол мени ренжiттi,negative
77,Китаптын авторы керемет,positive
78,Бiрак кейбiр жолдар шатастырды,negative
79,Керемет өнер туындысы,positive
80,Жаңа идеялар алу ушiн турли козқарастар кажет,positive
81,Сеним мен куш бирiктiру оте маңызды,positive
82,Тусiник беретiн талдау оте нашар,negative
83,Кештiн багдарламасы тамаша болды,positive
84,Мен кыскаша тусiндiрмелерге коп конiл болмеймiн,negative
85,Достарыммен кездесулер әркашан куантады,positive
86,Кейбiр серiктестер оздерiн корсетпеди,negative
87,Керемет корiнiс мени шабыттандырады,positive
88,Ойлар тым баяу отти,negative
89,Керемет аспаздык шедевр,positive
90,Сапа мен кун арасындагы айырмашылыкты тусiну қиын,negative
91,Сiздермен бирге болу мен ушiн бакыт,positive
92,Бул жоба тым курделi болды,negative
93,Китаптарды оку мени куантады,positive
94,Мен озимдi жалгыз сезiндiм,negative
95,Табигаттын тылсым сулулыгы,positive
96,Салемдесу кезiнде копшiлiкке конiл болмедi,negative
97,Фильмдер мени әрдайым куантады,positive
98,Сондыктан коптеген маселелер туындады,negative
99,Бул тангы ас оте дәмді болды,positive
100,Коптеген адамдармен танысу маған унайды,positive
101,Кызыкты жоба болды,positive
102,Жумыс кезiнде проблема кездестi,negative
103,Демалыс оте тамаша отти,positive
104,Фильмде кейбiр кателiктер болды,negative
105,Табигатта болу менi тыныштандырады,positive
106,Сатып алган онiм күткендей болмады,negative
107,Жумыс ауылыктары коп колдау кажет,neutral
108,Бул жобада коптеген кателер бар,negative
109,Тамаша алгашкы кушти бас таптым,positive
110,Жумыс барысында сынбайтын рух керек,neutral
111,Кино көргеннен кейiн бакытты сезiндiм,positive
112,Жумыс берушiлер колдау корсетпедi,negative
113,Жоба оте кызыкты отти,positive
114,Кызмет сапасы төмен,negative
115,Жумыс жасау менен канағаттана алмайды,neutral
116,Демалыс жоспары мен ушiн ерекше,positive
117,Кино катты узак болды,negative
118,Кун бойы корген киелiк туры тылсым болды,positive
119,Фильм жаман болды катты унамады,negative
120,Мен бiрге болган жигiт оте жаксы екен,positive
121,Мен кунi бойы коп жумыс жасадым,negative
122,Бул жоба кундерiнде коп корып алдым,neutral
123,Мен оте окилдi конил киелiгын байкадым,positive
124,Жаңа жумыс табу оте қиын,negative
125,Бул кiтап мени шабыттандырды,positive
126,Осы жолгы манди кызмет көрсету оте нашар болды,negative
127,Жумыс жасап жатканыма оте бакыттымын,positive
128,Курдi де киiм де жаксы болды,positive
129,Кiтапты кору бул киелiкке толы процесс,positive
130,Жумыс сапасы оте томен болды,negative
131,Бул магазин оте арзан тауарлар сатпады,negative
132,Китап оку процесси жагымды болды,positive
133,Кун оте тыныш болды,positive
134,Мен кун бойы куттiм бирак ештене болмады,negative
